Place ID,Latitude,Longitude
ChIJ1YvScxg7RA0R3GSuM0CZ9Vw,41.6835237,-3.5232981
ChIJXTEv_rQ7Tw0RzIih8EFmQoE,42.9385024,-3.5724179
ChIJtRgDPVc7RA0RSIdhoHkScOg,41.6835237,-3.5232981
ChIJk21mPZo6Tw0R5u6lNi4Czns,42.9385024,-3.5724179
ChIJJfy-zSw7RA0R2G64lNESTvw,41.6835237,-3.5232981
ChIJ730lapo6Tw0RGNZHIQuVCOc,42.9385024,-3.5724179
ChIJKwmlZgA7RA0RtnyeAiF8TOo,41.6835237,-3.5232981
ChIJa1-6a5o6Tw0ROtTCYBGYiMA,42.9385024,-3.5724179
ChIJx2UxSgA7RA0RyYym6Cbghdc,41.6835237,-3.5232981
ChIJSawvOnU7Tw0RlCvZuDhxmTM,42.9385024,-3.5724179
ChIJAQBA0pE6RA0ROT4TazwS718,41.6835237,-3.5232981
ChIJ3fhhOJo6Tw0Rya6xV9TnTFk,42.9385024,-3.5724179
ChIJKYxZL5A6RA0R0f_c1oB8lUY,41.6835237,-3.5232981
ChIJcybOOZo6Tw0RCfSLg2-H8S0,42.9385024,-3.5724179
ChIJVVWl4486RA0R-S0S4tOjI78,41.6835237,-3.5232981
ChIJ54hxEZo6Tw0RVRh-bOYx-H4,42.9384988,-3.5723428
ChIJESRMepc6Tw0RwBYeR0m_Jq4,42.9384988,-3.5723428
ChIJffd8Epo6Tw0RtxP-hfixhYQ,42.9384988,-3.5723428
ChIJG2iWcpo6Tw0RIFyjana2AL4,42.9384988,-3.5723428
ChIJtcrPfdTiRQ0RZKrnydHRIR4,42.3317753,-3.7078276
ChIJOeHFfdTiRQ0RVXKOmaNnrg8,42.3317753,-3.7078276
ChIJQ5GsfdTiRQ0RsNaN33tUnzc,42.3317753,-3.7078276
ChIJO2dBWkDjRQ0RCcxpwHPJVY0,42.3317753,-3.7078276
ChIJY6xfvzCRTw0RbxVfg3NjD3U,42.6859395,-2.9342455
ChIJMUSgYtTiRQ0RXSM3jRtlS_o,42.3317753,-3.7078276
ChIJfxCIY6OaTw0RUjHVrenII5Y,42.6860819,-2.9341581
ChIJfxCIY6OaTw0RUjHVrenII5Y,42.6859395,-2.9342455
ChIJMUSgYtTiRQ0RmHPXzvIssK0,42.3317753,-3.7078276
ChIJtQZcAKGaTw0RUDhoz8v0ZlE,42.6860819,-2.9341581
ChIJtQZcAKGaTw0RUDhoz8v0ZlE,42.6859395,-2.9342455
ChIJb8Ehf9TiRQ0R_iOQJ9lVJlU,42.3317753,-3.7078276
ChIJp-wmraaaTw0RlZuVBrzf7L0,42.6860819,-2.9341581
ChIJKwrueciRTw0RF7XVR3FhJgs,42.6859395,-2.9342455
ChIJQxfkidTiRQ0R4tfjKaT__fQ,42.3317753,-3.7078276
ChIJQe_d1yORTw0RRQ-v7yuY-vY,42.6859395,-2.9342455
ChIJny0Dg_2RTw0RvDdP4cdjQJA,42.6860819,-2.9341581
ChIJPX5HjJLjRQ0Rpt2O4wxA_0U,42.3317753,-3.7078276
ChIJdd6wptD8RQ0RFw2zdjlRjcg,42.6859395,-2.9342455
